STOPID	PLANVERSIONID	SHORTNAME	LONGNAME	GPS_X	GPS_Y	DECIMALLONGITUDE	DECIMALLATITUDE
517110	40	C6K26	Cl 6 entre Kr 26 y 27	-763219980	32601158	-76.53888333	3.433655
517111	40	C6K29	Cl 6 entre Kr 29 y 30	-763220322	32553268	-76.53897833	3.43146333
517113	40	C6K36	Cl 6 entre Kr 34 y 36	-763221840	32540188	-76.5394	3.42783
517115	40	C6K42	Cl 6 entre Kr 42 y 43	-763234830	32510272	-76.54300833	3.41952
517117	40	C6K50	Cl 6 entre Kr 50 y Cl 5	-763246626	32449740	-76.546285	3.41381667
517119	40	K39C7A	Kr 39 entre Cl 7A y 7	-763225494	32518780	-76.540415	3.42188333
517121	40	K66C10	Kr 66 entre C 9 y 10	-763236305	32352726	-76.54341806	3.39797944
517122	40	K66C12	Kr 66 entre Cl 12 y 13	-763220214	32352662	-76.53894833	3.39796167
517123	40	K66C13B2	Kr 66 entre Cl 13B y 13E	-763203053	32352547	-76.53418139	3.39792972
517125	40	C10K332	Cl 10 entre Kr 33 y 39	-763205166	32523403	-76.53476833	3.4231675
517126	40	K67C1D	Kr 67 entre Cl 1D y 1C	-763312576	32343067	-76.55349333	3.39529639
517127	40	K67C1A	Kr 67 entre Cl 1A y 1	-763322858	32341645	-76.55634944	3.39490139
517128	40	K71C1A	Kr 71 entre Cl 1A y 1C	-763317386	32332232	-76.55482944	3.39228667
517129	40	C2AK76A	Cl 2A entre Kr 76A y 76	-763304909	32321266	-76.55136361	3.38924056
517130	40	K76C2C	Kr 76 entre Cl 2C y 3	-763255720	32321023	-76.54881111	3.38917306
517131	40	C5K7068	Cl 5 entre Kr 70 y 68	-763245097	32341097	-76.54586028	3.39474917
517132	40	C1K37A	Cl 1 entre Kra 37A y 37	-763303930	32538579	-76.55109167	3.42738306
517134	40	C10OEK25	Cl 10 Oe con Kr 25D	-763258586	32602984	-76.54960722	3.43416222
517135	40	C10K36	Cl 10 entre Kr 36 y 37	-763305307	32552312	-76.55147417	3.43119778
517136	40	C10OEK38	C 10 Oe con Kr 38A	-763307516	32544513	-76.55208778	3.42903139
517137	40	C1K38E	Cl 1 entre Kr 38C y 38E	-763305640	32535643	-76.55156667	3.4265675
517138	40	K44C2A	Kr 44 entre Cl 2A y 3A	-763305655	32515306	-76.55157083	3.42091833
517139	40	K44C3A	Kr 44 entre Cl 3A y 4A	-763257712	32512898	-76.54936444	3.42024944
517142	40	C1K522	Cl 1 entre Kr 52 y 54	-763320256	32448432	-76.55562667	3.41345333
517143	40	K56C1AOE	Kr 56 entre Cl 1 y 2 Oe	-763324452	32439948	-76.55679222	3.41109667
517144	40	K56C7OE	Kr 56 entre Cl 7 y 8 Oe	-763332789	32443877	-76.55910806	3.41218806
517147	40	C13OEK55	Cl 13OE entre Kr 56 y 55	-763353350	32434336	-76.56481944	3.40953778
517150	40	D52K54D	Dg 25 entre Kr 54D y 53	-763341683	32452723	-76.56157861	3.41464528
517151	40	C1K54	Cl 1 entre Kr 52 y 54	-763320285	32448652	-76.55563472	3.41351444
517152	40	C1K38C	Cl 1 entre Kr 38C y 38D	-763305770	32534261	-76.55160278	3.42618361
517154	40	K57C3	Kr 57 entre Cl 3 y 2A	-763302777	32430503	-76.55077139	3.40847306
517155	40	C2AK58	Cl 2A entre Kr 58 y 60	-763305832	32426048	-76.55162	3.40723556
517156	40	C2K66A	Cl 2 entre Kr 66A y 66B	-763311686	32348498	-76.55324611	3.396805
517162	40	C3K67	Cl 3 entre Kr 67 y 66B	-763259266	32347796	-76.54979611	3.39661
517164	40	C3K75	Cl 3 entre Kr 75 y 73	-763256731	32328778	-76.54909194	3.39132722
517165	40	C3K70	Cl 3 entre Kr 70 y 69	-763258037	32338709	-76.54945472	3.39408583
517166	40	K55BC3	Kr 55B entre Cl 3 y 1A	-763302235	32437950	-76.55062083	3.41054167
517167	40	C3K62A4	Cl 3 entre Kr 62A y 62	-763258998	32414406	-76.54972167	3.40400167
517168	40	K56C3	Kr 56 entre Cl 3 y 1B	-763306768	32434386	-76.55188	3.40955167
517169	40	K56C1B	Kr 56 entre Cl 3 y 1B	-763314294	32435335	-76.55397056	3.40981528
517171	40	K39C5Y4	Kr 39 entre Cl 5 y 4	-763251728	32528521	-76.54770222	3.42458917
517172	40	K39C2A	Kr 39 entre Cl 2A y 2	-763302988	32530491	-76.55083	3.42513639
516180	40	K39C172	Kr 39 entre Cl 17 y 16	-763129984	32506360	-76.52499556	3.41843333
517176	40	K56C2OE	Kr 56 entre Cl 2 Oe y 1A Oe	-763324387	32439226	-76.55677417	3.41089611
517177	40	C1K561	Cl 1 entre Kr 56 y 55	-763320293	32440113	-76.55563694	3.4111425
517178	40	K56C6A	Kr 56 entre Cl 6A y 5	-763246385	32431312	-76.54621806	3.40869778
517179	40	K56C8O1	Kr 56 entre Cl 7 Oe y 8 Oe Vivero	-763345961	32435169	-76.56276694	3.40976917
517180	40	K56BC1	Kr 56 Barrio Cañaveral 1	-763359603	32433466	-76.56655639	3.40929611
517183	40	K56IDEAS	Colegio Ideas Inicio de Ruta	-763417949	32435439	-76.5716525	3.40984417
517184	40	K56EC	Kr 56 Entrada Ppal Cementerio	-763413275	32429561	-76.57035417	3.40821139
517185	40	K56BC2	Kr 56 Barrio Cañaveral 2	-763402848	32430747	-76.56745778	3.40854083
517186	40	K56BC3	Kr 56 Barrio Cañaveral 3	-763358430	32434301	-76.56623056	3.40952806
517187	40	K56C8O2	Kr 56 entre Cl 8 Oe y 7 Oe	-763345073	32435468	-76.56252028	3.40985222
517188	40	K56C8O3	Kr 56 entre Cl 8 Oe y 7 Oe	-763335289	32442457	-76.5598025	3.41179361
517189	40	K56C5OE	Kr 56 entre Cl 5 Oe y 3 Oe	-763328919	32442367	-76.55803306	3.41176861
517190	40	C6KDG24	Cl 6 entre Kr 36 y Dg 24	-763224962	32533254	-76.54026722	3.42590389
517192	40	K42C9	Kr 42 entre Cl 9 y 7	-763225619	32509399	-76.54044972	3.4192775
517193	40	K42C5E	Kr 42 entre Cl 5E y 5C	-763237412	32513572	-76.54372556	3.42043667
517194	40	K42C5B	Kr 42 entre Cl 5B y 5A	-763247400	32518491	-76.5465	3.42180306
517195	40	K42C5	Kr 42 entre Cl 5 y 3A	-763255413	32521413	-76.54872583	3.42261472
517196	40	K42C2A	Kr 42 entre Cl 2A y 2	-763304442	32524284	-76.55123389	3.42341222
517197	40	K42C5A	Kr 42 entre Cl 5 y 5A	-763249287	32518816	-76.54702417	3.42189333
517199	40	K42C7	Kr 42 entre Cl 7 y 8	-763228282	32509680	-76.54118944	3.41935556
517200	40	K66C101	Kr 66 entre C10 y 9A	-763236003	32353538	-76.54333417	3.398205
517201	40	K69C21	Kr 69 entre Cl 2 y 2A	-763309681	32338848	-76.55268917	3.39412444
517202	40	K68C2C	Kr 68 entre Cl 2C y 2D	-763302043	32342111	-76.5505675	3.39503083
517203	40	D51C13AO	Dg 51 entre Cl 13A Oe y 14 Oe	-763346477	32448281	-76.56291028	3.41341139
517204	40	D51C14O	Dg 51 entre Cl 14 Oe y 13A Oe	-763348414	32446221	-76.56344833	3.41283917
517205	40	D51K54D	Dg 51 entre Kr 54D y 53	-763341083	32452689	-76.56141194	3.41463583
517206	40	K42C2	Kr 42 entre Cl 2 y 2A	-763304459	32523785	-76.55123861	3.42327361
517207	40	K42C4	Kr 42 entre Cl 4 y 4A	-763255484	32520891	-76.54874556	3.42246972
517208	40	C6K37A	Cl 6 entre 37A y 38	-763228139	32525561	-76.54114972	3.42376694
517209	40	K50C5	Kr 50 entre Cl 5 y 6	-763246638	32452658	-76.54628833	3.41462722
517210	40	K50C53	Kr 50 entre Cl 53 y 53A	-763238247	32446573	-76.5439575	3.41293694
517211	40	C6K39T5	Cl 6 entre Kr 39 y Tr 5	-763231892	32516788	-76.54219222	3.42133
517212	40	K56C9C	Kr 56 entre Cl 9C y 9B	-763228174	32425420	-76.54115944	3.40706111
517213	40	K56C9	Kr 56 entre Cl 9 y 10	-763229446	32425207	-76.54151278	3.40700194
517215	40	C6K44	Cl 6 entre Kr 44 y 44A	-763238210	32502325	-76.54394722	3.4173125
517217	40	K56IDEA1	Colegio Ideas 1	-763417869	32436128	-76.57163028	3.41003556
517218	40	SIRENA1	Via a la Sirena Pte Rojo1	-763421666	32434571	-76.572685	3.40960306
517219	40	SIRENA2	La Sirena 2	-763430585	32427540	-76.5751625	3.40765
517220	40	SIRENA3	La Sirena Inicio Ruta	-763430238	32427626	-76.57506611	3.40767389
517221	40	SIRENA4	Via a la Sirena Pte Rojo2	-763422127	32434095	-76.57281306	3.40947083
517222	40	C7OK52	Cl 7 Oe entre Kr 52 y 51A	-763333426	32501268	-76.559285	3.41701889
517223	40	C7OK51A	Cl 7 Oe entre Kr 51A y 52	-763337056	32500353	-76.56029333	3.41676472
517224	40	D51C14OE	Dg 51 con Cl 14 Oe Cementerio Jardines d	-763357732	32444271	-76.56603667	3.4122975
517225	40	D51C14E	Dg 51 con Cl 14 Oe Escuela de Carabinero	-763357568	32444079	-76.56599111	3.41224417
518001	40	C8K141	Cl 8 entre Kr 14 y 14A	-763203426	32633432	-76.534285	3.44262
518003	40	K39D301	Kr 39 entre Dg 30 y Cl 34C	-763032228	32512039	-76.50895222	3.42001083
518004	40	K39C31	Kr 39 entre Cl 31 y 29	-763052709	32510872	-76.51464139	3.41968667
518005	40	K39C312	Kr 39 entre Cl 31A y 32	-763049708	32510073	-76.51380778	3.41946472
518006	40	K39C32A	Kr 39 entre Cl 32A y 32	-763043269	32511417	-76.51201917	3.41983806
518007	40	K39C26E1	Kr 39 entre Cl 26E y 26D	-763104974	32510080	-76.51804833	3.41946667
518009	40	K39C261	Kr 39 entre Cl 26 y 25	-763112396	32509756	-76.52011	3.41937667
518010	40	K39C262	Kr 39 entre Cl 25 y 26	-763113984	32508652	-76.52055111	3.41907
518011	40	K39C371	Kr 39 entre Cl 37 y 36	-763027789	32508996	-76.50771917	3.41916556
518012	40	K39C372	Kr 39 entre Cl 37 y 38	-763027247	32506954	-76.50756861	3.41859833
518013	40	K39C29	Kr 39 entre Cl 29 y 30	-763057008	32509718	-76.51583556	3.41936611
518016	40	K23C26B	Kr 23 entre Cl 26B y T25	-763058308	32609084	-76.51619667	3.43585667
518018	40	K23C33C1	Kr 23 entre Cl 33C y D23	-763043722	32613518	-76.512145	3.43708833
518019	40	K23T29	Kr 23 entre Tr 29 y C33B	-763043368	32611697	-76.51204667	3.4365825
518020	40	K23C33F	Kr 23 entre Cl 33F y 33C	-763033322	32616154	-76.50925611	3.43782056
518021	40	K23C33C	Kr 23 entre Cl 33C y 33F	-763031524	32614940	-76.50875667	3.43748333
518022	40	K23C361	Kr 23 entre Cl 36 y 34	-763024324	32619062	-76.50675667	3.43862833
518023	40	K23C36	Kr 23 entre Cl 36 y 38	-763021618	32618036	-76.506005	3.43834333
518024	40	K23C40	Kr 23 entre Cl 41 y 39	-763017677	32621177	-76.50491028	3.43921583
518025	40	K23C39	Kr 23 entre Cl 39 y 41	-763016344	32619854	-76.50454	3.43884833
518027	40	K23C43	Kr 23 entre Cl 43 y 44	-763006900	32623118	-76.50191667	3.439755
518028	40	K23C54	Kr 23 entre Cl 54 y 55	-762950686	32628686	-76.49741278	3.44130167
518029	40	K23C60	Kr 23 entre Cl 60 y 61	-762936531	32633828	-76.49348083	3.44273
518030	40	C70D15	Cl 70 entre Dg 15 y 13	-762921728	32644709	-76.48936889	3.4457525
518031	40	C52K20	Cl 52 entre Kr 20 y 22	-762958068	32630972	-76.49946333	3.44193667
518033	40	C27K362	Cl 27 entre Kr 36 y 35	-763101848	32515748	-76.51718	3.42104111
518034	40	C27K33A1	Cl 27 entre Kr 33 y 33B	-763102022	32522128	-76.51722833	3.42281333
518035	40	C27K33A2	Cl 27 entre Kr 33A y 33	-763101433	32521397	-76.51706472	3.42261028
518036	40	C27K31A1	Cl 27 entre Kr 31 y 31B	-763101310	32532834	-76.51703056	3.42578722
518037	40	C27K31A2	Cl 27 entre Kr 31A y 31	-763100606	32533520	-76.516835	3.42597778
518039	40	K29C27	Kr 29 entre Cl 27 y 26B	-763101968	32543650	-76.51721333	3.42879167
518041	40	K29C26B1	Kr 29 entre Cl 26B y 25	-763109882	32544604	-76.51941167	3.42905667
518043	40	C25K25	Cl 25 entre Kr 25 y 24B	-763110158	32558128	-76.51948833	3.43281333
518045	40	C28T251	Cl 28 entre Tr 25 y 25C	-763053083	32604690	-76.51474528	3.43463611
518046	40	C28K24B1	Cl 28 entre Kr 24B y 25	-763058944	32556718	-76.51637333	3.43242167
518047	40	C27K281	Cl 27 entre Kr 28 y 29	-763100552	32544414	-76.51682	3.42900389
518048	40	C70K26D	Cl 70 entre Kr 26 y 26D	-762938850	32617408	-76.494125	3.43816889
518049	40	C70K26E2	Cl 70 entre Kr 26E y 26D	-762939246	32611190	-76.494235	3.43644167
517025	40	C1K641	Cl 1 entre Kr 64 y 64A	-763324842	32402183	-76.55690056	3.40060639
518051	40	C70D69	Cl 70 entre Dg 69 y 70	-762943824	32602748	-76.49550667	3.43409667
518054	40	C70K28A1	Cl 70 entre Kr 28A y 28C	-762955565	32545827	-76.49876806	3.42939639
518058	40	C70K29	Cl 70 entre Kr 29 y 29A	-763011667	32527567	-76.50324083	3.42432417
518059	40	C70K29A	Cl 70 entre Kr 29A y 29	-763010381	32526888	-76.50288361	3.42413556
518060	40	C70K32	Cl 70 entre Kr 32 y 32B	-763018883	32520914	-76.50524528	3.42247611
518061	40	C70K32A2	Cl 70 entre Kr 32A y32	-763016959	32520508	-76.50471083	3.42236333
518063	40	C70K39	Cl 70 entre Kr 39 y 36	-763026689	32511142	-76.50741361	3.41976167
518069	40	K32C34	Kr 32 entre Cl 34 y 35	-763030762	32527462	-76.508545	3.424295
518070	40	K32C321	Kr 32 entre Cl 32 y 31A	-763044400	32529532	-76.51233333	3.42487
518071	40	K32C32	Kr 32 entre Cl 32 y 32A	-763040626	32528728	-76.511285	3.42464667
518072	40	K32C301	Kr 32 entre Cl 30 y 29	-763054216	32530408	-76.51506	3.42511333
518075	40	K23C28A	Kr 23 entre Cl 28A y 28	-763053951	32611348	-76.51498639	3.43648556
518076	40	K23C53	Kr 23 entre Cl 54 y 53	-762950081	32630552	-76.49724472	3.44182
518077	40	K23C49	Kr 23 entre Cl 49 y 48	-763003624	32626060	-76.50100667	3.44057222
518078	40	C25K39	Cl 25 entre Kr 39 y 37	-763115283	32510731	-76.52091194	3.4196475
518079	40	C25K34	Cl 25 entre Kr 34 y 33B	-763114269	32521246	-76.52063028	3.42256833
518080	40	C25K32B	Cl 25 entre Kr 32B y 32A	-763113410	32528774	-76.52039167	3.42465944
518081	40	K32C26B	Kr 32 entre Cl 26B y 27	-763105978	32530848	-76.51832722	3.42523556
518082	40	K23T251	Kr 23 entre Tr 25 y Cl 25	-763101178	32610324	-76.51699389	3.43620111
518083	40	C27K27	Cl 27 entre Kr 28 y 27	-763059802	32545916	-76.51661167	3.42942111
518084	40	C27K25B	Cl 27 Kr 25B y 25A	-763058991	32553432	-76.51638639	3.43150889
518085	40	C28T23C	Cl 28 entre Tr 23C y Cl 23B	-763053292	32603200	-76.51480333	3.43422222
518087	40	K32C44	Kr 32 entre Cl 44 y 35E	-763025332	32527148	-76.50703667	3.42420778
518088	40	K32C35	Kr 32 entre Cl 35 y 34	-763033991	32528080	-76.50944194	3.42446667
518092	40	T29K26	Tr 29 entre Kr26 y 25	-763036440	32559581	-76.51012222	3.43321694
518093	40	T29K24E	Tr 29 entre Kr 24E y 24B	-763042770	32605922	-76.51188056	3.43497833
518102	40	C25K17E	Cl 25 entre Kr 17E y 17D	-763107588	32624460	-76.51877444	3.44012778
518103	40	C25K17A	Cl 25 Con Kr 17A	-763105973	32638543	-76.51832583	3.44403972
518111	40	D22T25	Dg 22 entre Tr 25 y 26	-763051152	32606408	-76.51420889	3.43511333
518112	40	C33CK24B	Cl 33C entre Kr 24B y 24C	-763035412	32608326	-76.50983667	3.43564611
518113	40	C33CK25	Cl 33C entre Kr 25 y 26	-763033296	32600526	-76.50924889	3.43347944
518114	40	K27C33E	Kr 27 entre Cl 33E y 33H	-763026900	32558589	-76.50747222	3.43294139
518115	40	K27C34	Kr 27 entre Cl 34 y 36	-763018922	32600574	-76.50525611	3.43349278
518116	40	K27C36A	Kr 27 entre Cl 36A y Dg 28B	-763011158	32601036	-76.50309944	3.43362111
518117	40	K27C44	Kr 27 entre Cl 44 y 49	-763004415	32557617	-76.50122639	3.43267139
518118	40	K27C52	Kr 27 entre 52 y 54	-762957802	32554270	-76.49938944	3.43174167
518119	40	K27C70	Kr 27 entre Cl 70 y 56A	-762953042	32552619	-76.49806722	3.43128306
518120	40	K27C50	Kr 27 entre Cl 50 y 49	-763002889	32557602	-76.5008025	3.43266722
518121	40	K27D28B	Kr 27 entre Dg 28B y Cl 39	-763011700	32602036	-76.50325	3.43389889
518122	40	K27C33H	Kr 27 entre Cl 33H y 34	-763021292	32600562	-76.50591444	3.43348944
518123	40	D24CT25	Dg 24C entre Tr 25 y 29	-763042958	32603443	-76.51193278	3.43428972
518129	40	C44K33	Cl 44 entre Kr 33 y 33A	-763026331	32521089	-76.50731417	3.42252472
518130	40	C70D28EK	Cl 70 entre Dg 28EBis y Kr 28EBis	-763002523	32536322	-76.50070083	3.42675611
518132	40	C44T29K2	Cl 44 entre Tr 29 y kr 28F	-763016857	32537868	-76.5046825	3.42718556
518133	40	C44K28ET	Cl 44 entre Kr 28E y Tr 28D	-763012317	32546598	-76.50342139	3.42961056
518134	40	C44K28A	Cl 44 entre Kr 28A y 28	-763008089	32555223	-76.50224694	3.43200639
518135	40	C44K26L	C44 entre Kr 26L y 26K	-763001806	32607225	-76.50050167	3.43534028
518136	40	C52K2625	Cl 52 entre Kr 26 y 25A	-762952030	32615111	-76.49778611	3.43753083
518143	40	C44T28D	Cl 44 entre Tr 28D y 33H	-763012691	32547852	-76.50352528	3.42995889
518147	40	C70K25	Cl 70 entre Kr 25 y 25A	-762936383	32622139	-76.49343972	3.43948306
518148	40	C70K26F	Cl 70 entre Kr 26D y 26F	-762943427	32609247	-76.49539639	3.43590194
518149	40	C70K34	Cl 70 entre Kr 34 y 35	-763026206	32513708	-76.50727944	3.42047444
518150	40	C70K28B	Cl 70 entre Kr 28B y 27	-762950089	32550232	-76.49724694	3.43062
518153	40	C52K22	Cl 52 entre Kr 22 y 20	-762957742	32631489	-76.49937278	3.44208028
518154	40	K23C25T2	Kr 23 entre Cl 25 y Tr 25E	-763108417	32607529	-76.51900472	3.43542472
518155	40	C52K24B	Cl 52 entre Kr 24B y 24A	-762954601	32622155	-76.49850028	3.4394875
518156	40	C44K21	Cl 44 entre Kr 21 y 19	-763007167	32628952	-76.50199083	3.44137556
518157	40	C44K20	Cl 44 entre Kr 20 y 22	-763007306	32627817	-76.50202944	3.44106028
518158	40	C44K24	Cl 44 entre K24 y 24A	-763004976	32621360	-76.50138222	3.43926667
518159	40	C44K25	Cl 44 entre Kr 25 y 25A	-763002218	32613942	-76.50061611	3.43720611
518160	40	C44C43	Cl 44 entre Cl 43 y 42A	-763002304	32607664	-76.50064	3.43546222
518161	40	C44K28	Cl 44 entre Kr 28 y 28A	-763008607	32555504	-76.50239083	3.43208444
518162	40	C44T33E	Cl 44 entre Tr 33E y 29	-763017063	32539076	-76.50473972	3.42752111
518164	40	C70K26P	Cl 70 entre Kr 26P y 27	-762951987	32552617	-76.49777417	3.4312825
518165	40	K39C26D	Kr 39 entre Cl 26D y 26C	-763106371	32510010	-76.51843639	3.41944722
518169	40	C70K28C	Cl 70 entre Kr 28C y 28B	-762952819	32544899	-76.49800528	3.42913861
519013	40	C25K4	Cl 25 entre Kr 4 y 5	-763114395	32727932	-76.52066528	3.45775889
519015	40	C10K32A	Cl 10 entre Kr 32A y 33	-763201494	32534896	-76.53374833	3.42636
519016	40	C10K33	Cl 10 entre Kr 33 y 32A	-763200006	32533606	-76.533335	3.42600167
519017	40	C10K32	Cl 10 entre Kr 30 y 32	-763157990	32541712	-76.532775	3.42825333
519018	40	C10K31	Cl 10 entre Kr 31 y 30	-763155176	32542552	-76.53199333	3.42848667
519019	40	D23T11	Dg 23 entre Tr 11 y 10	-763148894	32549194	-76.53024833	3.43033167
519020	40	D23T12	Dg 23 entre Tr 12A y 13	-763146511	32548750	-76.52958639	3.43020833
519021	40	C13D231	Cl 13 entre Kr 23D y D23	-763141452	32558889	-76.52818111	3.43302472
519022	40	C13D232	Cl 13 entre Dg 23 y K23D	-763140494	32558329	-76.527915	3.43286917
519024	40	C13K22B	Cl 13 entre Kr 23 y 22B	-763141240	32610417	-76.52812222	3.43622694
519025	40	C13K20	Cl 13 entre Kr 20 y 21	-763142477	32617537	-76.52846583	3.43820472
519026	40	C13K21	Cl 13 entre Kr 21 y 20	-763141598	32618426	-76.52822167	3.43845167
519027	40	C9K32A	Cl 9 entre Kr 32A y 32	-763212830	32539461	-76.53689722	3.42762806
519028	40	C9K31	Cl 9 entre Kr 31 y 30	-763210736	32546450	-76.53631556	3.42956944
519029	40	C9K27	Cl 9 entre Kr 28 y 27	-763207810	32556194	-76.53550278	3.43227611
519030	40	C9K23D	Cl 9 entre Kr 23D y 23C	-763204980	32605569	-76.53471667	3.43488028
517173	40	K56C8OE	Kr 56 entre Cl 7 Oe y 8 Oe	-763338255	32440629	-76.56062639	3.41128583
519032	40	K15C7	Kr 15 entre Cl 7 y 5	-763206414	32628296	-76.535115	3.44119333
519033	40	C21K1	Cl 21 entre Kr 1 y 2	-763132718	32727684	-76.525755	3.45769
519035	40	K5C24	Kr 5 entre Cl 24 y 25	-763114718	32724318	-76.520755	3.456755
519038	40	A4NC5	Av 4N entre Cl 5 y 6 Oeste	-763246137	32713694	-76.54614917	3.45380389
519039	40	A4NC6	Av 4N entre Cl 6 y 7 Oeste	-763255130	32716056	-76.54864722	3.45446
519040	40	K1C9OE	Kr 1 entre Cl 9 y 10 Oe	-763302606	32707249	-76.55072389	3.45201361
519041	40	C7OEAV1	Cl 7 Oe con Av 1	-763258513	32711812	-76.54958694	3.45328111
519042	40	C5OEK1A	Cl 5 Oeste entre Kr 1A y 1B Oeste	-763248066	32711168	-76.546685	3.45310222
519043	40	K1C5OE	Kr 1 entre Kr 1C y Cl 5 Oeste	-763241545	32702094	-76.54487361	3.45058167
519046	40	K8C21	Kr 8 entre Cl 21 y 20	-763124306	32705978	-76.52341833	3.45166056
519047	40	K8C16	Kr 8 entre Cl 16 y 15	-763140776	32700774	-76.52799333	3.450215
519048	40	K5C15	Kr 5 entre Cl 15  y 16	-763144273	32710787	-76.52896472	3.45299639
519049	40	K5C19	Kr 5 entre Cl 19 y 20	-763132520	32716356	-76.5257	3.45454333
519050	40	C9K12	Cl 9 entre Kr 13 y 12	-763159637	32641027	-76.5332325	3.44472972
519051	40	C10K10	Cl 10 entre Kr 10 y 12	-763157487	32647429	-76.53263528	3.44650806
519052	40	C10K13	Cl 10 entre Kr 13 y 14	-763155942	32637265	-76.53220611	3.44368472
519056	40	K23AC12A	Kr 23A entre Cl 12A y 13	-763142883	32606032	-76.52857861	3.43500889
519059	40	C10K19	Cl 10 entre Kr 19 y 20	-763153691	32620386	-76.53158083	3.43899611
519061	40	C15K19A	Cl 15 entre Kr 19A y 18A	-763133330	32622108	-76.525925	3.43947444
519062	40	C10K22	Cl 10 entre Kr 22 y 23	-763152581	32610776	-76.5312725	3.43632667
519064	40	C25K12	Cl 25 entre Kr 12 y 13A	-763107008	32644604	-76.51861333	3.44572333
519065	40	C25K16	Cl 25 entre Kr 16 y 17	-763109480	32636804	-76.5193	3.44355667
519066	40	C25K17F	Cl 25 entre Kr 17F y 18	-763111762	32619956	-76.51993389	3.43887667
519067	40	C9K15	Cl 9 entre Kr 15 y 14A	-763159479	32632319	-76.53318861	3.44231083
519068	40	C9K8	Cl 9 entre Kr 8 y 6	-763202402	32658166	-76.53400056	3.44949056
519070	40	K4C9	Kr 4 entre Cl 9 y 8	-763205505	32703975	-76.5348625	3.45110417
519071	40	K4C5	Kr 4 entre Cl 5 y 4	-763216906	32658565	-76.53802944	3.44960139
519073	40	K2C2OE	Kr 2 entre Cl 2 y 3 Oeste	-763232638	32703020	-76.54239944	3.45083889
519074	40	K1C11OE	Kr 1 entre Cl 11 y 12 Oe	-763312414	32702479	-76.55344833	3.45068861
519075	40	K2OEC14	Kr 20E entre Cl 14 y 15 Oe	-763324334	32652170	-76.55675944	3.447825
519076	40	K2C13OE	Kr 2 entre Cl 13 y 12 Oe	-763314142	32658436	-76.55392833	3.44956556
519077	40	K2C11OE	Kr 2 entre Cl 11 y 10 Oe	-763303388	32703564	-76.55094111	3.45099
519078	40	K2C8OE	Kr 2 entre Cl 8 y 7 Oe	-763255942	32706428	-76.54887278	3.45178556
519079	40	K1C2A	Kr 1 entre Cl 2 y 2A	-763223514	32701476	-76.539865	3.45041
519080	40	K10C7	Kr 10 entre Cl 7 y 8	-763204546	32647329	-76.53459611	3.44648028
519081	40	C5K15	Cl 5 entre Kr 15 y 16	-763212381	32633433	-76.5367725	3.44262028
519082	40	C5K19	Cl 5 entre Kr 19 y 22	-763213611	32625923	-76.53711417	3.44053417
519083	40	K23C5	Kr 23 entre Cl 5 y 3A	-763217418	32620736	-76.53817167	3.43909333
519084	40	K23C2	Kr 23 entre Cl 2 y 1A	-763226388	32626325	-76.54066333	3.44064583
519086	40	K24CC6	Kr 24C entre Cl 6 y 9	-763245173	32630832	-76.54588139	3.44189778
519087	40	K24CC61	Kr 24C entre Cl 6 y  9	-763253483	32634298	-76.54818972	3.44286056
519088	40	K14C9	Kr 14 entre Cl 9 y 8	-763252698	32639588	-76.54797167	3.44433
519089	40	K14C6	Kr 14 entre Cl 6 y 7	-763243392	32639180	-76.54538667	3.44421667
519090	40	K14C3	Kr 14 entre Cl 3 y 2	-763232967	32636369	-76.54249083	3.44343583
519092	40	K14C31	Kr 14 entre Cl 3 y 4	-763218973	32637467	-76.53860361	3.44374083
519093	40	C4BK27	Cl 4B entre Kr 27 y 34	-763231888	32602156	-76.54219111	3.43393222
519094	40	K34C4	Kr 34 entre Cl 4 y 3	-763240656	32604578	-76.54462667	3.434605
519095	40	C3OK34	Cl 3 Oe entre Kr 34 y 27	-763243427	32612031	-76.54539639	3.43667528
519096	40	K27C5O	Kr 27 con Cl 5 Oe	-763248460	32622779	-76.54679444	3.43966083
519097	40	K27C9O2	Kr 27 con Cl 9 Oe	-763254523	32636166	-76.54847861	3.44337944
519098	40	K6C8O	Kr 6 con Cl 8 Oe	-763250059	32643181	-76.54723861	3.44532806
519100	40	K4C8O2	Kr 4 entre Cl 8 y 9 Oe	-763255140	32648738	-76.54865	3.44687167
519101	40	K4C11O	Kr 4 entre Cl 11 y 12 Oe	-763302035	32646235	-76.55056528	3.44617639
519103	40	K4C12O	Kr 4 entre Cl 12 y 11 Oe	-763301700	32646198	-76.55047222	3.44616611
519104	40	K4C9O	Kr 4 entre Cl 9 y 8 Oe	-763255308	32648531	-76.54869667	3.44681417
519105	40	K4C7O	Kr 4 entre Cl 7 y 6 Oe	-763250422	32648633	-76.54733944	3.4468425
519106	40	K6C8O1	Kr 6 con Cl 8 Oe	-763252614	32643514	-76.54794833	3.44542056
519107	40	K27C9O1	Kr 27 con Cl 9 Oe	-763254596	32635023	-76.54849889	3.44306194
519108	40	C5OK24E	Cl 5 Oe entre Kr 24E y 24F	-763250757	32624930	-76.5474325	3.44025833
519109	40	K27C3O	Kr 27 entre Cl 3 y 2 Oe	-763241973	32611959	-76.5449925	3.43665528
519110	40	K27C3	Kr 27 entre Cl 3 y 4	-763237192	32607582	-76.54366444	3.43543944
