"","country","long","lat","program","year","investment","invLog"
"57220","Guyana",59.05,5.1,"PC","1969",3e+05,5.47712125471966
"57222","Guyana",59.05,5.1,"T1","1969",3e+05,5.47712125471966
"57223","Guyana",59.05,5.1,"T2","1969",3e+05,5.47712125471966
"57228","Haiti",72.44,19.09,"ESFSS","1969",1900000,6.27875360095283
"57236","Haiti",72.44,19.09,"OUSAID","1969",1e+05,5
"57240","Haiti",72.44,19.09,"T2","1969",1300000,6.11394335230684
"57256","Honduras",86.27,14.97,"OUSAID","1969",2700000,6.43136376415899
"57257","Honduras",86.27,14.97,"PC","1969",8e+05,5.90308998699194
"57260","Honduras",86.27,14.97,"T2","1969",8e+05,5.90308998699194
"57274","Iceland",18.96,64.93,"T1","1969",5e+05,5.69897000433602
"57287","India",-79.14,22.67,"OUSAID","1969",203400000,8.30835094858673
"57289","India",-79.14,22.67,"PC","1969",5400000,6.73239375982297
"57291","India",-79.14,22.67,"T1","1969",211100000,8.32448823330766
"57292","India",-79.14,22.67,"T2","1969",57600000,7.76042248342321
"57300","Indonesia",-119.52,-2.96,"IP","1969",5e+05,5.69897000433602
"57307","Indonesia",-119.52,-2.96,"OUSAID","1969",56200000,7.74973631556906
"57311","Indonesia",-119.52,-2.96,"T1","1969",174800000,8.24254142829838
"57312","Indonesia",-119.52,-2.96,"T2","1969",2700000,6.43136376415899
"57320","Iran",-54.29,32.5,"PC","1969",1400000,6.14612803567824
"57322","Iran",-54.29,32.5,"T2","1969",1000,3
"57337","Iraq",-43.8,33.04,"T2","1969",3e+05,5.47712125471966
"57352","Israel",-34.82,31.61,"T1","1969",36100000,7.55750720190566
"57353","Israel",-34.82,31.61,"T2","1969",6e+05,5.77815125038364
"57371","Jamaica",77.36,18.24,"OUSAID","1969",9e+05,5.95424250943933
"57372","Jamaica",77.36,18.24,"PC","1969",7e+05,5.84509804001426
"57375","Jamaica",77.36,18.24,"T2","1969",6e+05,5.77815125038364
"57393","Jordan",-36.38,31.21,"OUSAID","1969",1500000,6.17609125905568
"57397","Jordan",-36.38,31.21,"T1","1969",1300000,6.11394335230684
"57398","Jordan",-36.38,31.21,"T2","1969",8800000,6.94448267215017
"57426","Kenya",-37.88,0.51,"OUSAID","1969",2300000,6.36172783601759
"57428","Kenya",-37.88,0.51,"PC","1969",1500000,6.17609125905568
"57431","Kenya",-37.88,0.51,"T2","1969",1e+05,5
"57442","Korea_South",-127.51,36.1,"ESFSS","1969",2e+07,7.30102999566398
"57449","Korea_South",-127.51,36.1,"OUSAID","1969",25400000,7.40483371661994
"57451","Korea_South",-127.51,36.1,"PC","1969",1400000,6.14612803567824
"57452","Korea_South",-127.51,36.1,"T1","1969",125500000,8.09864372581706
"57453","Korea_South",-127.51,36.1,"T2","1969",63100000,7.80002935924413
"57488","Laos",-103.36,19.07,"ESFSS","1969",41100000,7.61384182187607
"57496","Laos",-103.36,19.07,"OUSAID","1969",10900000,7.03742649794062
"57499","Laos",-103.36,19.07,"T2","1969",2e+05,5.30102999566398
"57506","Latin_America_and_Caribbean_not_specified",78.8,1.8,"IP","1969",5e+06,6.69897000433602
"57513","Latin_America_and_Caribbean_not_specified",78.8,1.8,"OUSAID","1969",25500000,7.40654018043396
"57515","Latin_America_and_Caribbean_not_specified",78.8,1.8,"PC","1969",4e+05,5.60205999132796
"57517","Latin_America_and_Caribbean_not_specified",78.8,1.8,"T2","1969",1000,3
"57542","Lebanon",-35.81,33.95,"T2","1969",1600000,6.20411998265593
"57553","Lesotho",-28.25,-29.58,"OUSAID","1969",1e+05,5
"57554","Lesotho",-28.25,-29.58,"PC","1969",5e+05,5.69897000433602
"57556","Lesotho",-28.25,-29.58,"T2","1969",9e+05,5.95424250943933
"57571","Liberia",9.32,6.41,"OUSAID","1969",10600000,7.02530586526477
"57572","Liberia",9.32,6.41,"PC","1969",2e+06,6.30102999566398
"57575","Liberia",9.32,6.41,"T2","1969",4e+05,5.60205999132796
"57579","Libya",-18.04,27.24,"IP","1969",1e+06,6
"57585","Libya",-18.04,27.24,"PC","1969",1200000,6.07918124604763
"57622","Madagascar",-46.7,-19.27,"OUSAID","1969",5e+05,5.69897000433602
"57627","Madagascar",-46.7,-19.27,"T2","1969",201000,5.30319605742049
"57641","Malawi",-33.75,-13.35,"OUSAID","1969",1200000,6.07918124604763
"57642","Malawi",-33.75,-13.35,"PC","1969",9e+05,5.95424250943933
"57645","Malawi",-33.75,-13.35,"T2","1969",1e+05,5
"57655","Malaysia",-102.24,4.4,"PC","1969",2800000,6.44715803134222
"57656","Malaysia",-102.24,4.4,"T2","1969",3100000,6.49136169383427
"57675","Mali",3.53,17.36,"OUSAID","1969",1e+05,5
"57679","Mali",3.53,17.36,"T2","1969",3901000,6.59117595031179
"57687","Malta",-14.38,35.93,"T2","1969",1700000,6.23044892137827
"57701","Mauritania",10.36,20.26,"PC","1969",1000,3
"57712","Mauritius",-57.59,-20.22,"OUSAID","1969",1000,3
"57716","Mauritius",-57.59,-20.22,"T2","1969",1e+05,5
"57728","Mexico",102.63,23.91,"OUSAID","1969",2e+05,5.30102999566398
"57748","Middle_East_and_North_Africa_not_specified",-36.57,28.39,"OUSAID","1969",3800000,6.57978359661681
"57750","Middle_East_and_North_Africa_not_specified",-36.57,28.39,"PC","1969",7e+05,5.84509804001426
"57751","Middle_East_and_North_Africa_not_specified",-36.57,28.39,"T2","1969",5e+05,5.69897000433602
"57798","Morocco",6.35,31.89,"OUSAID","1969",9500000,6.97772360528885
"57799","Morocco",6.35,31.89,"PC","1969",6e+05,5.77815125038364
"57801","Morocco",6.35,31.89,"T1","1969",4800000,6.68124123737559
"57802","Morocco",6.35,31.89,"T2","1969",22900000,7.35983548233989
"57848","Nepal",-83.93,28.26,"OUSAID","1969",2900000,6.46239799789896
"57850","Nepal",-83.93,28.26,"PC","1969",1500000,6.17609125905568
"57852","Nepal",-83.93,28.26,"T1","1969",7800000,6.89209460269048
"57853","Nepal",-83.93,28.26,"T2","1969",1000,3
"57876","Nicaragua",84.92,12.9,"OUSAID","1969",1900000,6.27875360095283
"57877","Nicaragua",84.92,12.9,"PC","1969",2e+05,5.30102999566398
"57880","Nicaragua",84.92,12.9,"T2","1969",3e+05,5.47712125471966
"57892","Niger",-9.4,17.42,"OUSAID","1969",1e+05,5
"57893","Niger",-9.4,17.42,"PC","1969",6e+05,5.77815125038364
"57896","Niger",-9.4,17.42,"T2","1969",8e+05,5.90308998699194
"57900","Nigeria",-8.08,9.56,"ESFSS","1969",26300000,7.41995574848976
"57909","Nigeria",-8.08,9.56,"OUSAID","1969",17300000,7.2380461031288
"57910","Nigeria",-8.08,9.56,"PC","1969",1300000,6.11394335230684
"57912","Nigeria",-8.08,9.56,"T2","1969",42200000,7.62531245096167
"57921","Oceania_not_specified",-130.84,-12.47,"IP","1969",36600000,7.56348108539441
"57924","Oceania_not_specified",-130.84,-12.47,"PC","1969",4600000,6.66275783168157
"57926","Oceania_not_specified",-130.84,-12.47,"T2","1969",1e+05,5
"57948","Pakistan",-68.76,29.32,"OUSAID","1969",103700000,8.01577875638904
"57953","Pakistan",-68.76,29.32,"T2","1969",7700000,6.88649072517248
"57968","Panama",80.41,8.6,"OUSAID","1969",1.6e+07,7.20411998265593
"57969","Panama",80.41,8.6,"PC","1969",8e+05,5.90308998699194
"57972","Panama",80.41,8.6,"T2","1969",6e+05,5.77815125038364
"57995","Paraguay",58.39,-23.24,"OUSAID","1969",9700000,6.98677173426625
"57996","Paraguay",58.39,-23.24,"PC","1969",5e+05,5.69897000433602
"57997","Paraguay",58.39,-23.24,"T1","1969",1800000,6.25527250510331
"57998","Paraguay",58.39,-23.24,"T2","1969",1500000,6.17609125905568
"58012","Peru",75.11,-9.21,"OUSAID","1969",4e+06,6.60205999132796
"58014","Peru",75.11,-9.21,"PC","1969",1300000,6.11394335230684
"58017","Peru",75.11,-9.21,"T2","1969",7800000,6.89209460269048
"58031","Philippines",-122.71,12.02,"OUSAID","1969",5600000,6.7481880270062
"58033","Philippines",-122.71,12.02,"PC","1969",3500000,6.54406804435028
"58036","Philippines",-122.71,12.02,"T2","1969",9600000,6.98227123303957
"58049","Poland",-19.38,52.15,"T2","1969",6300000,6.79934054945358
"58056","Portugal",8.35,39.64,"T2","1969",2e+06,6.30102999566398
"58102","Rwanda",-29.92,-2,"OUSAID","1969",1e+05,5
"58105","Rwanda",-29.92,-2,"T2","1969",2e+05,5.30102999566398
"58109","Samoa",-172.89,-13.49,"PC","1969",4e+05,5.60205999132796
"58142","Senegal",14.6,14.9,"OUSAID","1969",3e+05,5.47712125471966
"58143","Senegal",14.6,14.9,"PC","1969",7e+05,5.84509804001426
"58146","Senegal",14.6,14.9,"T2","1969",2100000,6.32221929473392
"58177","Seychelles",-54.56,-5.42,"T2","1969",1000,3
"58189","Sierra_Leone",11.84,8.52,"OUSAID","1969",2e+05,5.30102999566398
"58190","Sierra_Leone",11.84,8.52,"PC","1969",1500000,6.17609125905568
"58192","Sierra_Leone",11.84,8.52,"T1","1969",3e+05,5.47712125471966
"58193","Sierra_Leone",11.84,8.52,"T2","1969",9e+05,5.95424250943933
"58197","Singapore",-103.82,1.32,"T2","1969",1000,3
"58224","Somalia",-47.17,9.46,"OUSAID","1969",2600000,6.41497334797082
"58225","Somalia",-47.17,9.46,"PC","1969",9e+05,5.95424250943933
"58228","Somalia",-47.17,9.46,"T2","1969",1000,3
"58273","Sri_Lanka",-80.68,7.79,"OUSAID","1969",5e+06,6.69897000433602
"58274","Sri_Lanka",-80.68,7.79,"PC","1969",2e+05,5.30102999566398
"58276","Sri_Lanka",-80.68,7.79,"T1","1969",13900000,7.14301480025409
"58277","Sri_Lanka",-80.68,7.79,"T2","1969",3800000,6.57978359661681
"58291","Sub_Saharan_Africa_not_specified",-16.09,8.55,"ESFSS","1969",7e+05,5.84509804001426
"58300","Sub_Saharan_Africa_not_specified",-16.09,8.55,"OUSAID","1969",34200000,7.53402610605614
"58302","Sub_Saharan_Africa_not_specified",-16.09,8.55,"PC","1969",3e+05,5.47712125471966
"58303","Sub_Saharan_Africa_not_specified",-16.09,8.55,"T2","1969",1000,3
"58316","Sudan",-30.22,16.24,"OUSAID","1969",2e+05,5.30102999566398
"58320","Sudan",-30.22,16.24,"T2","1969",1e+05,5
"58330","Suriname",55.89,4.22,"T2","1969",6e+05,5.77815125038364
"58341","Swaziland",-31.5,-26.57,"OUSAID","1969",1e+05,5
"58342","Swaziland",-31.5,-26.57,"PC","1969",2e+05,5.30102999566398
"58344","Swaziland",-31.5,-26.57,"T2","1969",1000,3
"58359","Syria",-38.47,35.03,"T2","1969",3e+05,5.47712125471966
"58388","Tanzania",-34.85,-6.31,"OUSAID","1969",1300000,6.11394335230684
"58390","Tanzania",-34.85,-6.31,"PC","1969",3e+05,5.47712125471966
"58393","Tanzania",-34.85,-6.31,"T2","1969",2e+06,6.30102999566398
"58397","Thailand",-101.1,15.23,"ESFSS","1969",2.5e+07,7.39794000867204
"58406","Thailand",-101.1,15.23,"OUSAID","1969",10500000,7.02118929906994
"58408","Thailand",-101.1,15.23,"PC","1969",1300000,6.11394335230684
"58410","Thailand",-101.1,15.23,"T2","1969",6e+05,5.77815125038364
"58433","Togo",-0.98,8.51,"OUSAID","1969",2e+05,5.30102999566398
"58434","Togo",-0.98,8.51,"PC","1969",6e+05,5.77815125038364
"58437","Togo",-0.98,8.51,"T2","1969",4e+05,5.60205999132796
"58452","Trinidad_and_Tobago",61.15,10.7,"T2","1969",101000,5.00432137378264
"58460","Tunisia",-9.75,34.36,"OUSAID","1969",9e+06,6.95424250943933
"58461","Tunisia",-9.75,34.36,"PC","1969",9e+05,5.95424250943933
"58463","Tunisia",-9.75,34.36,"T1","1969",13300000,7.12385164096709
"58464","Tunisia",-9.75,34.36,"T2","1969",23200000,7.3654879848909
"58475","Turkey",-34.93,39.05,"OUSAID","1969",43500000,7.63848925695464
"58477","Turkey",-34.93,39.05,"PC","1969",1300000,6.11394335230684
"58478","Turkey",-34.93,39.05,"T1","1969",22800000,7.35793484700045
"58479","Turkey",-34.93,39.05,"T2","1969",23700000,7.3747483460101
"58506","Uganda",-32.39,1.28,"OUSAID","1969",5600000,6.7481880270062
"58507","Uganda",-32.39,1.28,"PC","1969",4e+05,5.60205999132796
"58546","Uruguay",56.01,-32.86,"IP","1969",1e+05,5
"58550","Uruguay",56.01,-32.86,"OUSAID","1969",1600000,6.20411998265593
"58552","Uruguay",56.01,-32.86,"PC","1969",1e+05,5
"58555","Uruguay",56.01,-32.86,"T2","1969",2e+05,5.30102999566398
"58583","Venezuela",66.15,7.67,"OUSAID","1969",1e+06,6
"58584","Venezuela",66.15,7.67,"PC","1969",1600000,6.20411998265593
"58585","Venezuela",66.15,7.67,"T2","1969",6e+05,5.77815125038364
"58589","Vietnam",-106.99,16.8,"ESFSS","1969",299100000,8.47581641303132
"58598","Vietnam",-106.99,16.8,"OUSAID","1969",15100000,7.17897694729317
"58601","Vietnam",-106.99,16.8,"T1","1969",60800000,7.78390357927274
"58602","Vietnam",-106.99,16.8,"T2","1969",38600000,7.58658730467176
"58637","World_not_specified",40,30,"ESFSS","1969",21900000,7.34044411484012
"58641","World_not_specified",40,30,"MRA","1969",9900000,6.99563519459755
"58647","World_not_specified",40,30,"OUSAID","1969",289100000,8.46104809167066
"58649","World_not_specified",40,30,"PC","1969",29600000,7.47129171105894
"58652","World_not_specified",40,30,"T2","1969",44800000,7.65127801399814
"58654","World_not_specified",40,30,"VCMO","1969",4.8e+08,8.68124123737559
"58669","Yemen",-47.91,15.34,"T2","1969",1000,3
"58705","Afghanistan",-66.03,33.83,"CSH","1970",0,-Inf
"58706","Afghanistan",-66.03,33.83,"DDS","1970",0,-Inf
"58717","Afghanistan",-66.03,33.83,"OUSAID","1970",6800000,6.83250891270624
"58719","Afghanistan",-66.03,33.83,"PC","1970",9e+05,5.95424250943933
"58722","Afghanistan",-66.03,33.83,"T2","1970",8e+05,5.90308998699194
"58752","Algeria",-2.65,28.21,"T2","1970",2200000,6.34242268082221
"58777","Argentina",65.16,-35.63,"OUSAID","1970",1e+06,6
"58803","Asia_not_specified",-106.46,36.42,"IP","1970",17500000,7.24303804868629
"58809","Asia_not_specified",-106.46,36.42,"OUSAID","1970",12800000,7.10720996964787
"58811","Asia_not_specified",-106.46,36.42,"PC","1970",2200000,6.34242268082221
"58813","Asia_not_specified",-106.46,36.42,"T2","1970",5e+06,6.69897000433602
"58906","Belize",-88.63,17.33,"PC","1970",2e+05,5.30102999566398
"58907","Belize",-88.63,17.33,"T2","1970",1000,3
"58920","Benin",2.34,-9.62,"OUSAID","1970",1e+05,5
"58921","Benin",2.34,-9.62,"PC","1970",4e+05,5.60205999132796
"58938","Bolivia",64.67,-16.71,"OUSAID","1970",3e+06,6.47712125471966
"58940","Bolivia",64.67,-16.71,"PC","1970",1400000,6.14612803567824
"58943","Bolivia",64.67,-16.71,"T2","1970",3600000,6.55630250076729
"58970","Botswana",-23.81,-22.19,"OUSAID","1970",1000,3
"58971","Botswana",-23.81,-22.19,"PC","1970",3e+05,5.47712125471966
"58973","Botswana",-23.81,-22.19,"T2","1970",1500000,6.17609125905568
"58980","Brazil",52.97,-10.81,"IP","1970",1e+05,5
"58986","Brazil",52.97,-10.81,"OUSAID","1970",8.8e+07,7.94448267215017
"58988","Brazil",52.97,-10.81,"PC","1970",3500000,6.54406804435028
"58990","Brazil",52.97,-10.81,"T1","1970",19900000,7.29885307640971
"58991","Brazil",52.97,-10.81,"T2","1970",42500000,7.62838893005031
"59018","Burkina_Faso",1.75,12.28,"OUSAID","1970",1e+05,5
"59019","Burkina_Faso",1.75,12.28,"PC","1970",4e+05,5.60205999132796
"59021","Burkina_Faso",1.75,12.28,"T2","1970",1700000,6.23044892137827
"59034","Burma_Myanmar_",-96.11,21.41,"T2","1970",4e+05,5.60205999132796
"59045","Burundi",-29.89,-3.37,"OUSAID","1970",1e+05,5
"59049","Burundi",-29.89,-3.37,"T2","1970",1501000,6.17638069224327
"59078","Cameroon",-12.72,5.68,"OUSAID","1970",1e+05,5
"59079","Cameroon",-12.72,5.68,"PC","1970",5e+05,5.69897000433602
"59082","Cameroon",-12.72,5.68,"T2","1970",1000,3
"59107","Caribbean_not_specified",76.64,20.38,"OUSAID","1970",10100000,7.00432137378264
"59109","Caribbean_not_specified",76.64,20.38,"PC","1970",9e+05,5.95424250943933
"59111","Caribbean_not_specified",76.64,20.38,"T2","1970",3e+05,5.47712125471966
"59118","Central_African_Republic",-20.49,6.57,"OUSAID","1970",1e+05,5
"59122","Central_African_Republic",-20.49,6.57,"T2","1970",401000,5.60314437262018
"59136","Central_America_not_specified",-92.26,14.89,"OUSAID","1970",44100000,7.64443858946784
"59147","Chad",-18.94,15.94,"OUSAID","1970",1e+05,5
"59148","Chad",-18.94,15.94,"PC","1970",4e+05,5.60205999132796
"59150","Chad",-18.94,15.94,"T2","1970",301000,5.47856649559384
"59160","Chile",72.44,-39.12,"OUSAID","1970",1.8e+07,7.25527250510331
"59162","Chile",72.44,-39.12,"PC","1970",1100000,6.04139268515823
"59165","Chile",72.44,-39.12,"T2","1970",7200000,6.85733249643127
"59170","China_Hong_Kong",-114.19,22.34,"T2","1970",4e+05,5.60205999132796
"59210","Colombia",73.28,4,"OUSAID","1970",75800000,7.87966920563205
"59212","Colombia",73.28,4,"PC","1970",1800000,6.25527250510331
"59214","Colombia",73.28,4,"T1","1970",12400000,7.09342168516223
"59215","Colombia",73.28,4,"T2","1970",41100000,7.61384182187607
"59237","Congo_Brazzaville",-15.29,-4.27,"T2","1970",3e+05,5.47712125471966
"59250","Congo_Kinshasa",-15.32,-4.31,"OUSAID","1970",9300000,6.96848294855393
"59251","Congo_Kinshasa",-15.32,-4.31,"PC","1970",1000,3
"59253","Congo_Kinshasa",-15.32,-4.31,"T1","1970",3700000,6.56820172406699
"59254","Congo_Kinshasa",-15.32,-4.31,"T2","1970",1e+05,5
"59259","Costa_Rica",83.88,10,"IP","1970",1e+05,5
"59264","Costa_Rica",83.88,10,"OUSAID","1970",19500000,7.29003461136252
"59265","Costa_Rica",83.88,10,"PC","1970",6e+05,5.77815125038364
"59268","Costa_Rica",83.88,10,"T2","1970",5e+05,5.69897000433602
"59281","Cote_d_Ivoire",5.55,7.6,"OUSAID","1970",1000,3
"59282","Cote_d_Ivoire",5.55,7.6,"PC","1970",7e+05,5.84509804001426
"59285","Cote_d_Ivoire",5.55,7.6,"T2","1970",2000,3.30102999566398
"59356","Dominican_Republic",70.34,19.05,"OUSAID","1970",5200000,6.7160033436348
"59357","Dominican_Republic",70.34,19.05,"PC","1970",6e+05,5.77815125038364
"59359","Dominican_Republic",70.34,19.05,"T1","1970",7800000,6.89209460269048
"59360","Dominican_Republic",70.34,19.05,"T2","1970",6200000,6.79239168949825
"59368","East_Africa_not_specified",-37.47,12.6,"OUSAID","1970",4500000,6.65321251377534
"59397","Ecuador",78.87,-1.42,"OUSAID","1970",23200000,7.3654879848909
"59399","Ecuador",78.87,-1.42,"PC","1970",1e+06,6
"59402","Ecuador",78.87,-1.42,"T2","1970",1600000,6.20411998265593
"59431","El_Salvador",88.87,13.67,"OUSAID","1970",10300000,7.01283722470517
"59432","El_Salvador",88.87,13.67,"PC","1970",5e+05,5.69897000433602
"59435","El_Salvador",88.87,13.67,"T2","1970",1800000,6.25527250510331
"59483","Ethiopia",-39.63,8.62,"OUSAID","1970",15600000,7.19312459835446
"59484","Ethiopia",-39.63,8.62,"PC","1970",2e+06,6.30102999566398
"59487","Ethiopia",-39.63,8.62,"T2","1970",1300000,6.11394335230684
"59533","Gabon",-11.74,-0.63,"OUSAID","1970",1000,3
"59535","Gabon",-11.74,-0.63,"T2","1970",101000,5.00432137378264
"59545","Gambia_The",15.49,13.44,"OUSAID","1970",1000,3
"59546","Gambia_The",15.49,13.44,"PC","1970",2e+05,5.30102999566398
"59549","Gambia_The",15.49,13.44,"T2","1970",1e+05,5
"59588","Ghana",1.2,7.92,"OUSAID","1970",17700000,7.24797326636181
"59590","Ghana",1.2,7.92,"PC","1970",1400000,6.14612803567824
"59592","Ghana",1.2,7.92,"T1","1970",10500000,7.02118929906994
"59593","Ghana",1.2,7.92,"T2","1970",1500000,6.17609125905568
"59613","Guatemala",90.16,15.48,"ESFSS","1970",8e+05,5.90308998699194
"59621","Guatemala",90.16,15.48,"OUSAID","1970",28300000,7.45178643552429
"59622","Guatemala",90.16,15.48,"PC","1970",6e+05,5.77815125038364
"59625","Guatemala",90.16,15.48,"T2","1970",2500000,6.39794000867204
"59637","Guinea",-146.86,-6.12,"OUSAID","1970",1e+05,5
"59638","Guinea",-146.86,-6.12,"PC","1970",4e+05,5.60205999132796
"59665","Guyana",59.05,5.1,"OUSAID","1970",1300000,6.11394335230684
"59666","Guyana",59.05,5.1,"PC","1970",3e+05,5.47712125471966
"59669","Guyana",59.05,5.1,"T2","1970",1000,3
"59674","Haiti",72.44,19.09,"ESFSS","1970",1600000,6.20411998265593
"59682","Haiti",72.44,19.09,"OUSAID","1970",1000,3
"59686","Haiti",72.44,19.09,"T2","1970",2100000,6.32221929473392
"59702","Honduras",86.27,14.97,"OUSAID","1970",5500000,6.74036268949424
"59703","Honduras",86.27,14.97,"PC","1970",8e+05,5.90308998699194
"59706","Honduras",86.27,14.97,"T2","1970",9e+05,5.95424250943933
"59716","Hungary",-19.42,47.17,"T2","1970",1100000,6.04139268515823
"59733","India",-79.14,22.67,"OUSAID","1970",223700000,8.34966598409663
"59735","India",-79.14,22.67,"PC","1970",3800000,6.57978359661681
"59737","India",-79.14,22.67,"T1","1970",180700000,8.25695815256093
"59738","India",-79.14,22.67,"T2","1970",41500000,7.61804809671209
"59746","Indonesia",-119.52,-2.96,"IP","1970",5e+05,5.69897000433602
"59753","Indonesia",-119.52,-2.96,"OUSAID","1970",56200000,7.74973631556906
"59757","Indonesia",-119.52,-2.96,"T1","1970",121600000,8.08493357493672
"59758","Indonesia",-119.52,-2.96,"T2","1970",24600000,7.39093510710338
"59766","Iran",-54.29,32.5,"PC","1970",1400000,6.14612803567824
"59783","Iraq",-43.8,33.04,"T2","1970",2e+05,5.30102999566398
"59798","Israel",-34.82,31.61,"T1","1970",40700000,7.60959440922522
"59799","Israel",-34.82,31.61,"T2","1970",4e+05,5.60205999132796
"59817","Jamaica",77.36,18.24,"OUSAID","1970",8e+05,5.90308998699194
"59818","Jamaica",77.36,18.24,"PC","1970",9e+05,5.95424250943933
"59821","Jamaica",77.36,18.24,"T2","1970",4e+05,5.60205999132796
"59839","Jordan",-36.38,31.21,"OUSAID","1970",1500000,6.17609125905568
"59844","Jordan",-36.38,31.21,"T2","1970",2400000,6.38021124171161
"59872","Kenya",-37.88,0.51,"OUSAID","1970",5800000,6.76342799356294
"59874","Kenya",-37.88,0.51,"PC","1970",2100000,6.32221929473392
"59877","Kenya",-37.88,0.51,"T2","1970",8e+05,5.90308998699194
"59888","Korea_South",-127.51,36.1,"ESFSS","1970",1e+07,7
"59895","Korea_South",-127.51,36.1,"OUSAID","1970",2.5e+07,7.39794000867204
"59897","Korea_South",-127.51,36.1,"PC","1970",1600000,6.20411998265593
"59898","Korea_South",-127.51,36.1,"T1","1970",76400000,7.88309335857569
"59899","Korea_South",-127.51,36.1,"T2","1970",27700000,7.44247976906445
"59934","Laos",-103.36,19.07,"ESFSS","1970",43700000,7.64048143697042
"59942","Laos",-103.36,19.07,"OUSAID","1970",8200000,6.91381385238372
"59945","Laos",-103.36,19.07,"T2","1970",1900000,6.27875360095283
"59952","Latin_America_and_Caribbean_not_specified",78.8,1.8,"IP","1970",5e+06,6.69897000433602
"59959","Latin_America_and_Caribbean_not_specified",78.8,1.8,"OUSAID","1970",3.4e+07,7.53147891704226
"59961","Latin_America_and_Caribbean_not_specified",78.8,1.8,"PC","1970",2e+06,6.30102999566398
"59987","Lebanon",-35.81,33.95,"T1","1970",7e+06,6.84509804001426
"59988","Lebanon",-35.81,33.95,"T2","1970",1400000,6.14612803567824
"59999","Lesotho",-28.25,-29.58,"OUSAID","1970",1000,3
"60000","Lesotho",-28.25,-29.58,"PC","1970",4e+05,5.60205999132796
"60002","Lesotho",-28.25,-29.58,"T2","1970",4800000,6.68124123737559
"60017","Liberia",9.32,6.41,"OUSAID","1970",4900000,6.69019608002851
"60018","Liberia",9.32,6.41,"PC","1970",1700000,6.23044892137827
"60020","Liberia",9.32,6.41,"T1","1970",9e+05,5.95424250943933
"60021","Liberia",9.32,6.41,"T2","1970",5e+05,5.69897000433602
"60031","Libya",-18.04,27.24,"PC","1970",4e+05,5.60205999132796
"60068","Madagascar",-46.7,-19.27,"OUSAID","1970",1e+05,5
"60073","Madagascar",-46.7,-19.27,"T2","1970",1100000,6.04139268515823
"60087","Malawi",-33.75,-13.35,"OUSAID","1970",1000,3
"60088","Malawi",-33.75,-13.35,"PC","1970",7e+05,5.84509804001426
"60091","Malawi",-33.75,-13.35,"T2","1970",2000,3.30102999566398
"60101","Malaysia",-102.24,4.4,"PC","1970",2600000,6.41497334797082
"60102","Malaysia",-102.24,4.4,"T2","1970",1700000,6.23044892137827
"60121","Mali",3.53,17.36,"OUSAID","1970",1e+05,5
"60122","Mali",3.53,17.36,"PC","1970",1e+05,5
"60125","Mali",3.53,17.36,"T2","1970",801000,5.90363251608424
"60132","Malta",-14.38,35.93,"PC","1970",1000,3
"60133","Malta",-14.38,35.93,"T2","1970",1e+05,5
"60158","Mauritius",-57.59,-20.22,"OUSAID","1970",1e+05,5
"60159","Mauritius",-57.59,-20.22,"PC","1970",2e+05,5.30102999566398
"60162","Mauritius",-57.59,-20.22,"T2","1970",2600000,6.41497334797082
"60166","Mexico",102.63,23.91,"ESFSS","1970",1e+06,6
"60194","Middle_East_and_North_Africa_not_specified",-36.57,28.39,"OUSAID","1970",3500000,6.54406804435028
"60196","Middle_East_and_North_Africa_not_specified",-36.57,28.39,"PC","1970",2e+05,5.30102999566398
"60197","Middle_East_and_North_Africa_not_specified",-36.57,28.39,"T2","1970",18200000,7.26007138798508
"60244","Morocco",6.35,31.89,"OUSAID","1970",10300000,7.01283722470517
"60245","Morocco",6.35,31.89,"PC","1970",9e+05,5.95424250943933
"60248","Morocco",6.35,31.89,"T2","1970",16800000,7.22530928172586
"60294","Nepal",-83.93,28.26,"OUSAID","1970",2300000,6.36172783601759
"60296","Nepal",-83.93,28.26,"PC","1970",1200000,6.07918124604763
"60298","Nepal",-83.93,28.26,"T1","1970",1.2e+07,7.07918124604763
"60299","Nepal",-83.93,28.26,"T2","1970",1e+05,5
"60322","Nicaragua",84.92,12.9,"OUSAID","1970",2300000,6.36172783601759
"60323","Nicaragua",84.92,12.9,"PC","1970",4e+05,5.60205999132796
"60326","Nicaragua",84.92,12.9,"T2","1970",4e+05,5.60205999132796
"60338","Niger",-9.4,17.42,"OUSAID","1970",1e+05,5
"60339","Niger",-9.4,17.42,"PC","1970",5e+05,5.69897000433602
"60342","Niger",-9.4,17.42,"T2","1970",6e+05,5.77815125038364
"60346","Nigeria",-8.08,9.56,"ESFSS","1970",27400000,7.43775056282039
"60355","Nigeria",-8.08,9.56,"OUSAID","1970",12300000,7.0899051114394
"60356","Nigeria",-8.08,9.56,"PC","1970",3e+05,5.47712125471966
"60358","Nigeria",-8.08,9.56,"T2","1970",8300000,6.91907809237607
"60367","Oceania_not_specified",-130.84,-12.47,"IP","1970",49900000,7.69810054562339
"60370","Oceania_not_specified",-130.84,-12.47,"PC","1970",3900000,6.5910646070265
"60372","Oceania_not_specified",-130.84,-12.47,"T2","1970",1e+05,5
"60394","Pakistan",-68.76,29.32,"OUSAID","1970",123700000,8.09236969962912
"60398","Pakistan",-68.76,29.32,"T1","1970",80500000,7.90579588036787
"60399","Pakistan",-68.76,29.32,"T2","1970",5600000,6.7481880270062
